# Altitude (m),Position East of launch (m),Position North of launch (m)
2679.5,357.95,10152
2671.7,357.91,10157
2663.9,357.88,10162
2656.1,357.85,10167
2648.3,357.81,10172
2640.4,357.78,10177
2632.6,357.74,10182
2624.7,357.7,10187
2616.8,357.67,10192
2608.9,357.63,10197
2601,357.59,10202
2593.1,357.55,10207
2585.2,357.51,10211
2577.2,357.47,10216
2569.3,357.43,10221
2561.3,357.39,10226
2553.3,357.35,10231
2545.4,357.31,10236
2537.4,357.27,10241
2529.4,357.22,10246
2521.3,357.18,10251
2513.3,357.14,10255
2505.3,357.09,10260
2497.2,357.05,10265
2489.2,357,10270
2481.1,356.95,10275
2473,356.91,10280
2464.9,356.86,10284
2456.8,356.81,10289
2448.7,356.76,10294
2440.6,356.71,10299
2432.4,356.66,10303
2424.3,356.61,10308
2416.1,356.56,10313
2407.9,356.51,10318
2399.8,356.46,10322
2391.6,356.41,10327
2383.4,356.35,10332
2375.2,356.3,10337
2366.9,356.25,10341
2358.7,356.19,10346
2350.5,356.14,10351
2342.2,356.08,10355
2334,356.03,10360
2325.7,355.97,10365
2317.4,355.91,10369
2309.1,355.85,10374
2300.8,355.79,10379
2292.5,355.74,10383
2284.2,355.68,10388
2275.8,355.62,10392
2267.5,355.55,10397
2259.1,355.49,10402
2250.8,355.43,10406
2242.4,355.37,10411
2234,355.31,10415
2225.6,355.24,10420
2217.2,355.18,10425
2208.8,355.11,10429
2200.4,355.05,10434
2192,354.98,10438
2183.5,354.92,10443
2175.1,354.85,10447
2166.6,354.78,10452
2158.1,354.72,10456
2149.7,354.65,10461
